docid	title_snippet
G1	shiprocket ipo early investors set for up to returns latestage backers face losses
G2	upcoming ipos dhoot transmission to shiprocket mainboard issues to open next week
G3	shiprocket ipo gmp grey market premium today
G4	shiprocket s new businesses grow as logistics firm eyes ipo
G5	ipo gmps dhoot transmission molbio diagnostics shiprocket behari lal engg to milky mist what grey market signals
G6	shiprocket ipo who is cashing in where cr will go and what could go wrong
G7	juniper green shiprocket ipos buy hold or sell expert view for investors
G8	shiprocket ltd share price fundamentals ratios
G9	lightrock moore face losses as ipobound shiprocket sheds unicorn tag
G10	shiprocket cuts ipo size lowers valuation expectations as it readies for rs public issue
G11	shiprocket ltd ipo
G12	shiprocket sets ipo price band at issue to open on aug
G13	shiprocket ipo why this crore issue is different from recent startup listings
G14	shiprocket targets crore valuation in trimmed ipo
G15	shiprocket ipo price band fixed at per share heres date size other key details
G16	shiprocket s rs public issue cresa s creative fix for sanitary pad disposal
G17	ahead of ipo shiprocket looks beyond parcel delivery to merchant software
G18	shiprocket ipo size cut to rs crore price band set at rs
G19	ipobound shiprocket loss widened to cr
G20	shiprocket sets ipo price band at public issue to open on august
G21	shiprocket to launch ipo in weeks at a valuation of rs crore
G22	shiprockets ipo to open aug price band fixed at
G23	shiprocket ipo likely this month at cr valuation report
G24	temasekbacked shiprocket targets mln valuation in trimmed india ipo
G25	indias shiprocket sets price band of rupees per share for ipo
G26	indian logistics firm shiprocket targets ipo
G27	shiprocket cuts ipo size by to rs cr
G28	shiprocket sets price band for cr ipo
G29	shiprocket ipo gmp price allotment profit estimate
G30	shiprockets rs crore ipo opens august price band ofs and key details
G31	will shiprocket pass ipo test with flying colours
G32	upcoming ipos next week five mainboard four sme issues to open
G33	shiprocket rs ipo to hit dalal street on august cuts offer size
G34	shiprocket fixes ipo price band at aims to raise crore
G35	ahead of ipo shiprocket looks beyond parcel delivery to merchant software
G36	shiprocket ipo to open on aug price band fixed at rs per share valued company at rs
G37	grapevine nse jio shiprocket cloudnine ifc in news
G38	shiprocket ipo decoded smaller issue bumper exits key risks and the road ahead
G39	shiprocket ipo price band set rs opens aug
G40	shiprocket ipo announced crore issue what you need to know
G41	shiprocket trims ipo by to rs crore issue opens august
G42	shiprocket ipo to open on august
G43	temasekbacked shiprocket targets million valuation in trimmed india ipo
G44	shiprocket ipo opens on august check price band lot size other key issue details
G45	shiprocket ipo backbone of india s ecommerce infrastructure
G46	shiprocket ipo ceo cfo on growth strategy ecommerce ipo plans
G47	shiprocket trims ipo size googles ai leadership shakeup
G48	shiprocket ipo opens on august with price band and issue
G49	shiprocket eyes ipo valuation below last funding round
G50	shiprocket ipo to open on august price band fixed at per share
G51	shiprocket limited ipo announced crore issue what you need to know
G52	shiprocket sets ipo price band at rs rs cr issue to open august
G53	shiprockets rs crore ipo rewards early backers dents returns for latestage investors
G54	milky mist cuts public offer size after temasek deal ipo launch next week
G55	shiprocket ipo to open august with price band per share
G56	shiprocket ipo opens at should investors subscribe or wait for better clarity
G57	shiprocket to launch ipo on august cuts issue size by it is backed by temasek and eternal inshorts
G58	shiprocket cuts ipo size by to rs crore issue opens august
G59	shiprocket sets ipo price band at issue to open on aug
G60	shiprocket eyes august ipo at measured valuation after slashing losses by
G61	shiprocket likely to launch ipo within two weeks at crore valuation
G62	shiprocket ipo price band fixed at rs rs crore issue to open on august
G63	shiprocket to launch ipo in next weeks at lower valuation report it received a nod from sebi in november inshorts
G64	shiprocket trims ipo size googles ai leadership shakeup
